100
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
6min	100	1000
